year,title,genre,vote_average,award,winner
1981,Arthur,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actor in a Leading Role,
1981,Absence of Malice,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",6.9,Actor in a Leading Role,
1981,Reds,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actor in a Leading Role,
1981,Chariots of Fire,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",6.8,Actor in a Supporting Role,
1981,Reds,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actor in a Supporting Role,
1981,Reds,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actress in a Leading Role,
1981,Reds,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actress in a Supporting Role,1
1982,Tootsie,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actor in a Leading Role,
1982,Gandhi,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.4,Actor in a Leading Role,1
1982,My Favorite Year,"[{""id"": 35, ""name"": ""Comedy""}]",7.4,Actor in a Leading Role,
1982,Missing,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""},  {""id"": 9648, ""name"": ""Mystery""}]",7.8,Actor in a Leading Role,
1982,The Verdict,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Leading Role,
1982,The Best Little Whorehouse in Texas,"[{""id"": 35, ""name"": ""Comedy""}]",5.9,Actor in a Supporting Role,
1982,The Verdict,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Supporting Role,
1982,Tootsie,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,
